COADD_ID,RA,Dec,gmag,q,g-i,mu_mean,z,re
1085834985,9.7359,3.334,20.32,0.85,0.88,25.13,,3.65
1085905598,9.1785,4.6172,20.19,0.93,0.66,24.75,,3.25
1085347066,9.3209,-2.9441,20.33,0.92,0.9,26.43,,6.64
1089466758,10.086,0.7732,20.6,0.76,0.8,24.92,,2.92
1089482853,9.6843,0.6213,18.94,0.8,0.45,24.68,,5.59
1088731669,10.0729,1.4614,20.03,0.81,0.99,25.37,,4.68
1088763613,9.9968,1.165,20.62,0.93,0.77,25.31,,3.46
1086866425,9.6517,-6.7016,17.28,0.86,0.66,25.1,,14.57
1086349598,10.0258,-20.0476,20.21,0.55,0.57,25.51,,4.57
1089379364,9.8489,3.105,19.51,0.78,0.89,24.67,,4.28
1089382140,9.868,3.0785,21.01,0.9,0.84,25.56,,3.24
1089372894,9.8751,3.1799,19.65,0.52,0.97,24.62,,3.94
1089706370,10.207,3.4197,19.08,0.97,0.8,25.78,,8.72
1089685877,10.2955,3.6522,19.5,0.54,0.84,24.75,,4.48
1089703926,9.8885,3.4596,20.07,0.52,0.52,26.56,,7.93
1089718582,9.9799,3.2969,19.97,0.87,0.94,25.01,,4.07
1089722396,9.983,3.2493,19.66,0.87,0.91,24.65,,3.97
1090180028,10.3176,4.0322,20.26,0.51,0.79,24.63,,2.99
1090144081,9.8823,4.4295,19.93,0.75,0.85,25.11,,4.34
1093523031,10.531,-1.791,19.89,0.95,0.88,24.91,,4.03
1093524109,10.6351,-1.8205,18.22,0.74,0.94,25.27,,10.27
1098420928,11.4747,-4.0289,20.49,0.82,1.01,26.53,,6.44
1098330186,11.4316,-23.3445,20.43,0.94,0.64,25.14,,3.49
1105389705,12.5612,-5.803,21.09,0.93,1.01,25.92,,3.68
1104944066,12.7696,-6.7032,18.09,0.9,0.88,24.78,,8.67
1105035617,12.9474,-22.6534,19.56,0.76,0.4,25.15,,5.22
1108053568,13.1233,2.9555,19.79,0.84,0.64,25.08,,4.56
1107159669,13.0274,-0.8763,20.98,0.8,0.93,25.47,,3.16
1111533221,13.6861,-1.4784,20.18,0.67,0.78,25.26,,4.14
1125184335,14.5123,-0.9995,21.16,0.87,1.17,25.99,,3.69
1125187713,14.5291,-1.0335,20.4,0.88,1.13,25.88,,4.97
1116059107,13.9154,-6.411,19.02,0.6,0.4,24.67,,5.37
1124111200,13.762,-18.9735,19.46,0.93,0.89,24.8,,4.65
1117562891,14.3898,-4.1346,19.47,0.73,0.55,25.61,,6.73
1117327980,14.5342,-5.1342,19.92,0.84,0.92,25.71,,5.75
1117050756,14.5846,-4.9283,20.03,0.93,0.9,24.89,,3.73
1117341363,14.7242,-5.2809,18.82,0.62,0.56,25.52,,8.7
1125686047,15.0483,-21.4603,20.92,0.58,0.98,26.85,,6.14
1116018072,14.8513,-6.6049,19.99,0.85,0.85,25.1,,4.2
1116007730,14.9589,-6.4718,18.8,0.84,0.76,24.65,,5.91
1126681355,15.1425,4.4911,19.67,0.52,0.68,24.61,,3.88
1117406726,15.2298,-18.7632,20.5,0.94,0.61,24.75,,2.82
1129293128,15.6863,-21.3497,20.44,0.64,0.93,25.13,,3.45
1129863364,15.7596,-0.9905,19.38,0.71,0.95,24.89,,5.05
1129830211,15.8729,-0.6639,19.61,0.91,0.9,25.18,,5.17
1129827118,15.9533,-0.6331,20.06,0.95,0.81,24.8,,3.54
1126501752,15.9092,-6.2742,21.13,0.51,0.71,26.15,,4.01
1126492042,15.9144,-6.1814,19.08,0.4,1,25.07,,6.3
1130323383,15.6314,-22.8148,19.43,0.72,0.71,25.13,,5.51
1130322326,15.6588,-22.7963,19.73,0.84,0.73,25.55,,5.83
1137274484,16.597,1.8381,20.46,0.56,0.85,25.42,,3.91
1134790773,16.0427,-0.8358,19.56,0.68,0.85,25.23,,5.42
1134756737,16.0886,-0.5024,20.77,0.78,0.87,25.52,,3.55
1132743074,16.2123,-6.1039,20.03,0.72,1.12,24.8,,3.59
1132741945,16.3693,-6.0872,21.12,0.69,0.72,25.85,,3.53
1140126030,17.1583,0.8233,18.73,0.6,0.82,24.67,,6.17
1140449774,17.2552,2.5036,20.19,0.74,0.92,25.44,,4.47
1140407471,16.8611,-0.6829,18.64,0.69,0.95,25.12,,7.88
1140386229,16.8741,-0.486,18.95,0.46,0.78,25.24,,7.23
1140203633,17.3557,-1.7619,19.32,0.9,0.87,25.55,,7.01
1140285385,17.4916,-2.6116,19.91,0.72,0.99,25.52,,5.27
1138246145,17.239,-6.6628,18.86,0.79,0.88,24.65,,5.74
1153628472,16.7448,-26.2053,19.53,0.39,0.47,24.6,,4.12
1146070758,17.7038,-15.5351,20.45,0.81,0.98,25.82,,4.74
1142065250,17.6852,-6.0772,19.92,0.83,0.86,25.05,,4.22
1142853753,17.352,-27.3471,22.13,0.56,0.78,24.83,,1.38
1142276034,17.6154,-27.625,20.33,0.89,0.9,24.85,,3.2
1145427020,17.5348,1.7337,19.98,0.76,0.91,25.01,,4.04
1145452156,18.0302,1.4844,19.7,0.91,0.64,25.37,,5.43
1145186683,17.6755,-1.541,19.26,0.91,0.39,24.62,,4.71
1146475374,18.1302,-2.006,19.54,0.89,0.7,25.06,,5.08
1146615238,18.0151,-4.1499,19.57,0.98,0.95,24.78,,4.39
1148896094,18.2579,-6.0388,20.62,0.89,0.79,26.3,,5.46
1148462770,18.2436,-6.0966,19.59,0.57,0.96,26.52,,9.66
1149698584,18.3238,-0.238,19.97,0.61,0.97,25.77,,5.78
1149001129,18.5341,0.2639,20.16,0.79,0.94,24.85,,3.45
1150610334,18.4086,2.4424,21.54,0.76,0.93,27.03,,4.99
1149913795,18.7566,-1.4807,21.06,0.42,0.83,26.6,,5.1
1153437112,19.0282,-6.4724,20.37,0.51,1,26.38,,6.37
1158189943,19.431,-15.2217,21.3,0.83,1.08,26.14,,3.71
1155993486,19.1175,3.9248,20.33,0.89,0.67,24.67,,2.94
1155261940,19.1623,-1.6137,20.77,0.46,0.69,27.01,,7.08
1157699113,19.5551,4.3915,19.68,0.71,0.69,24.96,,4.55
1157075259,19.7781,-16.793,22.99,0.86,0.81,25.77,,1.43
1162767838,19.8488,3.2398,19.46,0.7,0.78,25.09,,5.32
1162755836,19.8589,3.3597,20.3,0.9,0.78,25.45,,4.29
1162767734,19.9306,3.2465,20.86,0.84,0.88,25.76,,3.81
1162730163,20.0624,3.6166,20.18,0.83,0.66,25.38,,4.38
1160840459,20.3025,-2.1507,20.69,0.96,0.8,25.95,,4.49
1162408398,20.3097,-2.7276,20.59,0.93,0.77,26.29,,5.53
1161794917,20.1132,-27.2329,20.23,0.91,0.81,25.54,,4.6
1161751944,20.2739,-26.7733,20.9,0.89,0.94,26.5,,5.26
1163078643,20.2833,-14.2396,21.54,0.62,0.99,26.15,,3.35
1166021481,20.4719,1.565,20.58,0.75,0.72,25.41,,3.69
1166005311,21.0107,1.7225,19.87,0.56,0.84,25.63,,5.66
1166685850,20.6575,2.4794,19.78,0.46,1.85,25.48,,5.51
1167140124,20.969,1.8836,19.4,0.9,0.9,25,,5.26
1166099743,20.4466,2.5787,19.79,0.69,0.77,24.62,,3.69
1165799012,21.0336,2.9996,20.14,0.77,0.83,25.77,,5.33
1167082526,20.7013,3.6749,19.56,0.79,1.09,25.22,,5.41
1166677183,21.0588,4.0078,21.2,0.96,0.7,26.12,,3.84
1166806938,20.483,-2.6474,20.31,0.9,0.73,25.5,,4.35
1174448522,21.3275,0.6152,19.41,0.85,0.7,24.85,,4.9
1172549802,21.3085,1.7383,20.95,0.91,0.75,25.45,,3.18
1172553926,21.4069,1.686,19.16,0.83,0.95,24.61,,4.89
1172550000,21.4183,1.7247,19.26,0.71,0.87,25.02,,5.66
1172570297,21.4553,1.5249,20.78,0.96,0.86,25.39,,3.34
1172550086,21.4894,1.7268,20.68,0.86,1.16,25.99,,4.6
1173397955,21.1044,1.8705,20.79,0.97,0.87,25.39,,3.32
1173397555,21.7157,1.8779,21.38,0.64,0.69,26.87,,4.99
1172232764,21.1985,-1.0399,19.68,0.85,0.84,24.83,,4.27
1172232795,21.2773,-1.0317,20.25,0.92,0.86,25.35,,4.17
1172459141,21.1694,-1.6366,19.44,0.74,0.88,25.47,,6.4
1172041515,21.2036,-1.3422,19.32,0.84,0.96,25.46,,6.74
1172445794,21.2706,-1.4789,19.6,0.89,0.89,25.24,,5.37
1172462381,21.2802,-1.6607,20.65,0.93,0.93,25.39,,3.53
1172042921,21.3668,-1.3333,21.54,0.94,0.74,25.68,,2.68
1172040254,21.4459,-1.3154,19.53,0.79,0.95,25.12,,5.25
1172434273,21.5331,-1.3616,19.62,0.96,0.89,25.06,,4.89
1172460678,21.5943,-1.6626,18.7,0.45,1.03,24.88,,6.87
1172441370,21.6304,-1.4363,18.94,0.61,0.89,24.83,,5.99
1172029868,21.699,-1.212,18.11,0.72,0.88,24.64,,8.07
1172452639,21.7418,-1.5617,19.23,0.51,0.88,25.03,,5.76
1171655102,21.1513,-2.0731,19.96,0.77,0.94,26.06,,6.61
1171687266,21.1658,-2.4184,21.52,0.76,0.93,26.41,,3.79
1171122492,21.5064,-1.9292,20.06,0.58,1,25.04,,3.96
1171131724,21.5295,-2.0695,19.11,0.5,0.83,25.29,,6.89
1171670935,21.7402,-2.251,20.6,0.99,0.92,25.18,,3.29
1169999505,21.4426,-6.1888,20.21,0.92,0.79,24.75,,3.23
1173511538,21.4115,-3.3607,20.46,0.54,0.61,26.21,,5.63
1176453482,22.2672,0.0508,20.1,0.65,0.85,25.57,,4.96
1176728263,22.1452,1.5083,21.57,0.76,0.75,25.74,,2.72
1176911696,22.0547,2.142,18.79,0.71,0.89,24.95,,6.79
1177270842,22.1885,2.8066,20.88,0.76,0.64,25.6,,3.51
1176621232,22.2131,-1.0406,21.1,0.91,0.74,26.37,,4.53
1176597872,22.3288,-0.8121,19.16,0.72,0.93,24.83,,5.44
1175663806,21.792,-1.3998,20.43,0.89,0.93,25.03,,3.31
1175679340,21.8081,-1.5716,20.6,0.96,0.88,25.32,,3.51
1175659860,21.9343,-1.3531,20.17,0.72,0.97,25.79,,5.32
1175634750,21.9538,-1.0906,19.53,0.78,0.94,24.95,,4.84
1176290767,21.8292,-1.814,22.46,0.76,0.71,26,,2.03
1176289132,21.8417,-1.8039,19.49,0.85,0.94,24.84,,4.69
1176862550,21.8923,-2.3815,19.96,0.86,0.9,24.92,,3.93
1176330583,22.2713,-2.2516,21.49,0.83,0.82,25.96,,3.12
1176328014,22.3986,-2.2473,19.31,0.93,0.88,25.05,,5.6
1176638031,22.0399,-14.7741,18.92,0.47,0.59,25.31,,7.58
1180681591,22.5617,-22.6945,18.94,0.84,0.81,26.81,,14.99
1180697997,22.594,-22.8501,20.31,0.77,0.71,25.28,,3.93
1181669282,22.7305,1.892,19.13,0.84,0.84,24.89,,5.65
1180438844,22.8441,-0.812,19.72,0.8,0.86,25.04,,4.61
1181691499,22.5564,-1.8791,20.76,0.87,0.83,25.23,,3.13
1179425274,22.847,-6.4984,19.92,0.86,0.77,25.71,,5.75
1181559141,23.0176,-7.2532,18.94,0.95,0.88,25.4,,7.8
1181544913,23.1008,-7.0299,20.34,0.93,0.7,25.33,,3.97
1181648187,23.3458,-7.5953,19.88,0.84,0.81,24.96,,4.14
1183982001,23.2808,-12.3892,20.52,0.82,0.93,25.43,,3.83
1185735640,23.2234,-6.4308,20.32,0.7,0.68,25.61,,4.55
1185309319,23.2264,-13.9972,18.67,0.3,0.68,26.73,,16.35
1187537462,23.8609,2.7328,19.7,0.89,0.63,24.87,,4.31
1186705810,23.4919,-1.0427,19.55,0.69,0.86,25.67,,6.66
1186507183,23.3583,-7.0959,20.36,0.49,0.85,26.55,,6.93
1186527910,23.3717,-7.3431,18.57,0.73,0.81,25.32,,8.95
1186512756,23.465,-7.1659,19.36,0.8,0.87,26.02,,8.56
1190689113,23.817,-21.7498,19.13,0.79,0.47,24.88,,5.63
1188870870,23.6508,-8.1251,20.05,0.52,0.6,25.24,,4.35
1190059855,23.7138,-29.1715,18.28,0.74,0.78,24.63,,7.44
1190060303,23.7831,-29.1593,20.13,0.83,0.6,25.9,,5.67
1305340839,24.4806,0.9015,19.87,0.85,0.99,25.37,,5
1190548981,23.9303,-8.6272,19.87,0.74,0.45,24.97,,4.17
1190540125,24.0658,-8.5394,19.91,0.79,0.84,25.15,,4.47
1304381520,24.0319,-8.9632,21.34,0.79,0.84,26.08,,3.53
1304438601,24.3332,-9.5481,21.5,0.58,0.95,25.89,,3.02
1306149361,24.3711,-14.0528,21.49,0.5,0.79,25.3,,2.31
1304250323,24.1954,3.7226,18.71,0.6,0.19,26.24,,12.79
1312325488,24.4278,-13.7958,20.32,0.83,0.91,25.34,,4.01
1619025057,24.4405,-4.2979,20.37,0.65,0.42,25.24,,3.75
1298605134,24.7106,-8.1829,20.05,0.78,0.74,24.94,,3.78
1299378240,24.8797,-28.9808,19.43,0.59,0.71,24.74,,4.61
1300665619,25.1584,0.0827,20.33,0.88,0.54,25.18,,3.73
1302638136,25.2234,-7.2556,19,0.61,0.7,25.04,,6.44
1301680324,25.1235,-7.6114,20.44,0.89,0.85,25.49,,4.08
1313300750,25.343,-8.6638,18.91,0.71,0.56,26,,10.43
1308443900,25.9346,-4.0459,19.77,0.4,0.79,26.06,,7.22
1301914127,26.139,-7.5764,20.31,0.84,0.69,25.46,,4.27
1197817211,26.0266,0.8104,19.7,0.84,0.5,24.82,,4.2
1197261971,26.8321,-26.7487,21.37,0.89,0.67,26.41,,4.07
1199801580,27.1736,-6.0186,19.74,0.79,0.62,24.71,,3.94
1199327353,26.752,-14.4322,19.68,0.55,0.78,25.44,,5.66
1200050752,27.2603,-24.2162,19,0.79,0.73,25,,6.35
1201790856,27.1527,-9.582,18.04,0.56,0.6,24.81,,9.02
1199832950,26.7836,-12.7496,20.28,0.68,0.78,24.95,,3.43
1203778711,27.2902,-10.1218,19.85,0.67,0.61,26.09,,7.06
1203800556,27.6676,-10.3116,20.59,0.76,0.6,25.17,,3.29
1203808411,27.0976,-13.2456,19.58,0.47,0.8,25.33,,5.64
1203827084,27.2917,-13.4164,19.73,0.92,0.84,25.89,,6.81
1203172273,26.9634,-27.1829,20.51,0.76,0.74,25.21,,3.46
1205654069,27.7722,-8.6444,20.92,0.87,0.85,25.79,,3.75
1205008235,27.5191,-10.5451,19.29,0.62,0.83,25.52,,7.03
1205002954,27.9326,-10.4922,19.05,0.67,0.54,24.84,,5.74
1207586482,28.0282,-2.3186,20.48,0.62,0.96,25.45,,3.94
1206296341,27.5763,-6.4373,21.1,0.83,0.86,25.6,,3.17
1210073895,27.4941,-9.2839,20.34,0.47,0.73,25.25,,3.83
1313874372,27.4442,-12.7317,19.25,0.55,0.73,25.54,,7.22
1313337877,27.864,-12.607,17.18,0.75,0.59,24.68,,12.59
1208993589,28.0679,-4.7118,18.01,0.72,0.34,25.07,,10.26
1211233892,27.8582,-9.8426,20.39,0.52,0.74,26.59,,6.91
1210556135,28.1401,-13.4443,19.23,0.86,0.71,25.21,,6.29
1210603850,28.1663,-13.8578,19.62,0.54,0.78,24.69,,4.12
1211471401,28.2558,-14.6601,20.14,0.71,0.77,25.41,,4.5
1211571972,27.9852,-8.9049,21.11,0.8,0.33,25.83,,3.51
1211423909,28.3055,-8.7415,20.61,0.57,0.71,26.34,,5.58
1214252344,28.3045,-12.9927,20.1,0.71,0.69,26.03,,6.12
1214222435,28.4212,-12.7091,20.36,0.56,0.72,25.67,,4.6
1211660826,28.2924,-13.9577,19.83,0.77,0.79,26.01,,6.84
1211688355,28.3153,-14.1867,21.08,0.76,0.65,26.19,,4.2
1211657683,28.4314,-13.9078,22.1,0.59,0.62,26.65,,3.24
1211690882,28.4761,-14.2143,20.34,0.7,0.58,25.87,,5.1
1211691196,28.5257,-14.2223,19.67,0.75,0.82,25.69,,6.39
1211659648,28.538,-13.9337,20.05,0.62,0.58,24.73,,3.43
1212214091,28.552,-14.2538,19.77,0.51,0.79,24.85,,4.14
1211666368,28.6104,-14.0076,18.83,0.88,0.8,25.5,,8.64
1212225189,28.7923,-14.3697,18.95,0.77,0.8,25.17,,6.99
1213307981,28.7947,-0.2655,18.29,0.68,0.44,24.81,,8.03
1214624774,28.8258,3.8582,19.34,0.4,0.86,24.75,,4.82
1213876568,28.9578,-2.569,19.85,0.93,0.71,25.2,,4.68
1215679311,28.6216,-23.8037,19.81,0.9,0.73,25.63,,5.81
1215100314,29.1385,4.3372,20.24,0.78,0.93,25.16,,3.84
1214915850,28.6863,4.9751,19.68,0.88,0.92,25.43,,5.62
1215195485,29.1199,-4.5306,19.86,0.83,0.85,25.02,,4.29
1215165212,29.1249,-4.2238,17.63,0.79,0.48,24.77,,10.68
1216438615,28.7255,-13.4878,18.45,0.82,0.82,25.55,,10.47
1216453674,29.1646,-13.6077,19.58,0.74,0.79,24.67,,4.16
1217712279,28.5993,-22.8433,19.76,0.59,0.63,25.48,,5.56
1218638325,29.2369,-0.4137,19.76,0.53,0.77,25.2,,4.89
1218298423,28.8484,-14.5608,20.05,0.81,0.54,27,,9.82
1219294188,29.0259,-15.5433,19.17,0.64,0.73,24.61,,4.89
1220909977,29.5559,3.3936,20.41,0.74,0.45,26,,5.21
1220765359,29.1601,-3.7044,20.63,0.83,0.89,25.81,,4.33
1221565675,29.3893,4.3508,19.27,0.54,0.79,24.85,,5.22
1221845952,29.787,4.1476,20.77,0.83,0.85,25.02,,2.82
1229093846,30.0204,-5.3061,20.34,0.6,0.61,24.96,,3.36
1224525253,30.1936,-0.8839,20.71,0.49,0.85,25.51,,3.64
1224897742,30.2684,-6.7462,21.27,0.65,0.8,25.81,,3.23
1224314887,30.2253,-14.4217,19.85,0.52,0.87,25.86,,6.37
1225817946,29.82,-24.9993,20.59,0.78,0.87,25.53,,3.88
1225816190,29.9027,-24.9878,20.51,0.89,0.88,25.13,,3.36
1225818363,30.2757,-25.0083,20.12,0.9,0.88,25.27,,4.27
1226906528,30.0976,2.8066,21.63,0.61,0.58,25.22,,2.08
1227121639,29.7698,-7.0145,20.36,0.55,0.83,25.94,,5.2
1227122357,29.8051,-7.0232,21.16,0.51,0.67,27.06,,6.04
1227135706,29.9753,-7.1786,19.55,0.76,0.88,24.75,,4.37
1227117510,29.9874,-6.9783,19.29,0.66,0.98,25.06,,5.7
1227115896,30.2149,-6.9532,20.14,0.71,0.81,25.31,,4.31
1227966288,29.9409,-24.1423,19.97,0.87,0.67,25.27,,4.58
1228484591,30.1134,-4.5625,19.03,0.51,0.27,24.71,,5.46
1231395250,30.5258,-0.0511,20.92,0.93,0.93,26,,4.15
1233497429,30.6124,2.6214,20.83,0.88,1.12,25.35,,3.19
1232672799,30.4798,-24.7975,20.7,0.83,0.86,25.2,,3.16
1240061572,31.4435,-9.8417,17.95,0.68,0.44,25.01,,10.3
1240065082,31.4875,-9.85,20.59,0.77,0.57,24.92,,2.93
1244331132,32.1853,1.9164,19.56,0.75,0.86,24.89,,4.65
1246228114,32.1398,-7.8499,17.7,0.75,0.76,25.3,,13.18
1246214902,32.2027,-7.684,20.14,0.64,0.77,24.88,,3.54
1246241913,32.3796,-7.9705,19.98,0.6,0.65,25.27,,4.56
1246214356,32.3912,-7.6866,19.72,0.55,0.81,25.1,,4.73
1246035835,32.2491,-10.1628,19.65,0.68,0.72,24.62,,3.94
1247975359,32.7049,-19.7435,19.46,0.74,0.9,24.92,,4.93
1249687751,33.0009,2.0783,20.24,0.9,0.62,24.9,,3.41
1248887776,32.7511,-0.625,20.29,0.77,0.85,25.39,,4.18
1248065141,33.0546,-6.4452,19.3,0.78,0.76,24.69,,4.75
1249510743,33.2955,-19.2662,19.63,0.71,0.86,25.22,,5.25
1251598686,33.3211,-7.7623,19.22,0.6,0.85,25.65,,7.69
1256886943,33.5918,-6.8054,20.06,0.78,0.54,25.16,,4.18
1257070783,33.6278,-7.3878,20.54,0.82,0.72,25.4,,3.74
1259496628,34.2886,1.0187,19.4,0.43,0.68,24.75,,4.69
1259130727,34.3566,1.3306,19.94,0.84,0.89,25.88,,6.14
1262552517,34.9339,-9.6688,19.73,0.58,0.7,24.88,,4.28
1262722797,34.8123,-21.449,19.95,0.68,0.71,24.65,,3.48
1264529443,35.2009,-0.4652,17.77,0.68,0.76,25.66,,15.1
1265332795,35.0166,-6.5754,20.35,0.72,0.8,25.57,,4.42
1264128764,34.8374,-8.5903,18.98,0.96,0.57,24.62,,5.36
1267061228,35.5325,-19.5793,19.37,0.51,0.48,24.75,,4.75
1271101048,35.6704,-1.4944,20.45,0.61,0.76,26.45,,6.33
1271593937,35.754,-1.8269,20.17,0.79,0.78,25.24,,4.11
1271614694,35.8279,-2.057,18.9,0.59,0.48,25.37,,7.84
1269848344,35.3151,-5.5392,20.4,0.64,0.77,26.77,,7.5
1274376114,36.0962,-3.1832,18.07,0.64,0.76,24.86,,9.08
1272532647,36.1994,-3.5176,19.53,0.64,0.61,24.64,,4.19
1271312240,36.0086,-9.2258,19.6,0.71,0.34,24.87,,4.5
1277781721,36.2582,-11.0534,22.43,0.63,0.63,24.98,,1.29
1274012383,35.8431,-21.0887,18.51,0.73,0.61,24.85,,7.41
1274024184,35.8521,-21.2175,20.31,0.64,0.78,25.4,,4.15
1274023738,35.9969,-21.2029,21.15,0.55,0.82,25.75,,3.31
1274035653,36.0143,-21.3982,17.72,0.74,0.89,25.04,,11.61
1276658731,36.1925,-0.9284,19.55,0.56,0.77,24.98,,4.86
1276663339,36.2916,-0.972,19.71,0.66,0.78,25.22,,5.03
1276963538,36.2337,-1.5137,20.21,0.59,0.75,25.65,,4.89
1276527915,36.2789,-1.8747,20.79,0.61,0.52,26.59,,5.76
1276531800,36.7383,-1.9219,20.06,0.89,0.9,25.61,,5.14
1276098437,36.1773,-8.6922,20.1,0.45,0.68,24.62,,3.19
1275048287,36.5594,-24.3137,20.98,0.6,0.73,25.91,,3.86
1275536268,36.4548,-24.6892,21.09,0.49,0.57,26.77,,5.44
1277154342,36.5676,-2.7059,18.95,0.65,0.55,24.69,,5.58
1277557649,36.3217,-9.5039,19.14,0.92,0.6,25.83,,8.7
1275892264,36.5958,-20.0038,17.57,0.75,0.62,24.61,,10.2
1283577157,37.4502,1.2118,20.35,0.4,0.85,25.6,,4.48
1281698239,37.2031,-0.7043,18.84,0.71,0.7,24.89,,6.47
1282037943,37.1144,-1.6417,19.49,0.77,0.69,25.4,,6.07
